Rank,Title,Sales,Series,Platform(s),Initial release date,Developer(s)[a],Publisher(s)[a]
1,Minecraft,"238,000,000[b]",Minecraft,Multi-platform[c],"November 18, 2011[d]",Mojang Studios,Xbox Game Studios
2,Grand Theft Auto V,"17,00,00,000",Grand Theft Auto,Multi-platform,"September 17, 2013",Rockstar North,Rockstar Games
3,Tetris (EA),"10,00,00,000",Tetris,Multi-platform[e],"September 12, 2006",EA Mobile,Electronic Arts
4,Wii Sports,"8,29,00,000",Wii,Wii,"November 19, 2006",Nintendo EAD,Nintendo
5,PUBG: Battlegrounds,"7,50,00,000",PUBG Universe,Multi-platform,"December 20, 2017",PUBG Corporation,PUBG Corporation
6,Super Mario Bros.,"5,80,00,000",Super Mario,Multi-platform[f],"September 13, 1985",Nintendo R&D4,Nintendo
7,Mario Kart 8 / Deluxe,"5,68,70,000",Mario Kart,Wii U / Switch,29.May.14,Nintendo EAD,Nintendo
8,Pokémon Red / Green / Blue / Yellow,"4,75,20,000",Pokémon,Game Boy / Color,"February 27, 1996",Game Freak,Nintendo
9,Red Dead Redemption 2,"4,60,00,000",Red Dead,Multi-platform,"October 26, 2018",Rockstar Studios,Rockstar Games
10,Terraria,"4,45,00,000",None,Multi-platform[c],16.May.11,Re-Logic,Re-Logic / 505 Games
11,Wii Fit / Plus,"4,38,00,000",Wii,Wii,"December 1, 2007",Nintendo EAD,Nintendo
12,Tetris (1989)[j],"4,30,00,000",Tetris,Game Boy / NES,"June 14, 1989",Nintendo R&D1,Nintendo
13,Pac-Man,"4,20,71,635",Pac-Man,Multi-platform[c],22.May.80,Namco,Namco
14,Animal Crossing: New Horizons,"4,01,70,000",Animal Crossing,Nintendo Switch,"March 20, 2020",Nintendo EPD,Nintendo
15,The Witcher 3 / Hearts of Stone / Blood and Wine,"4,00,00,000",The Witcher,Multi-platform,19.May.15,CD Projekt Red,CD Projekt
16,Mario Kart Wii,"3,73,80,000",Mario Kart,Wii,"April 10, 2008",Nintendo EAD,Nintendo
17,Wii Sports Resort,"3,31,40,000",Wii,Wii,"June 25, 2009",Nintendo EAD,Nintendo
18,New Super Mario Bros.,"3,08,00,000",Super Mario,Nintendo DS,15.May.06,Nintendo EAD,Nintendo
19,New Super Mario Bros. Wii,"3,03,20,000",Super Mario,Wii,"November 11, 2009",Nintendo EAD,Nintendo
20,Call of Duty: Modern Warfare,"3,00,00,000",Call of Duty,Multi-platform,"October 25, 2019",Infinity Ward,Activision
21,Diablo III / Reaper of Souls,,Diablo,Multi-platform,16.May.12,Blizzard Entertainment,Blizzard Entertainment
22,Human: Fall Flat,,None,Multi-platform,"July 22, 2016",No Brakes Games,Curve Digital
23,The Elder Scrolls V: Skyrim,,The Elder Scrolls,Multi-platform,"November 11, 2011",Bethesda Game Studios,Bethesda Softworks
24,Super Smash Bros. Ultimate,"2,95,30,000",Super Smash Bros.,Nintendo Switch,"December 7, 2018",Bandai Namco Studios / Sora Ltd.,Nintendo
25,The Legend of Zelda: Breath of the Wild,"2,94,90,000",The Legend of Zelda,Wii U / Switch,"March 3, 2017",Nintendo EPD,Nintendo
26,Pokémon Gold / Silver / Crystal,,Pokémon,Game Boy Color,"November 21, 1999",Game Freak,Nintendo
27,Duck Hunt,"2,83,00,000",None,NES,"April 21, 1984",Nintendo R&D1,Nintendo
28,Wii Play,"2,80,20,000",Wii,Wii,"December 2, 2006",Nintendo EAD,Nintendo
29,The Walking Dead,"2,80,00,000",The Walking Dead,Multi-platform,"April 24, 2012",Telltale Games,Telltale Games
30,Grand Theft Auto: San Andreas,"2,75,00,000",Grand Theft Auto,Multi-platform,"October 26, 2004",Rockstar North,Rockstar Games
31,Super Mario World,"2,66,62,500",Super Mario,Multi-platform,"November 21, 1990",Nintendo EAD,Nintendo
32,Call of Duty: Modern Warfare 3,"2,65,00,000",Call of Duty,Multi-platform,"November 8, 2011",Infinity Ward / Sledgehammer,Activision
33,Call of Duty: Black Ops,"2,62,00,000",Call of Duty,Multi-platform,"November 9, 2010",Treyarch,Activision
34,Borderlands 2,"2,70,00,000",Borderlands,Multi-platform,"September 18, 2012",Gearbox Software,2K Games
35,Pokémon Sun / Moon / Ultra Sun / Ultra Moon,"2,53,70,000",Pokémon,Nintendo 3DS,"November 18, 2016",Game Freak,Nintendo / The Pokémon Company
36,Pokémon Sword / Shield,,Pokémon,Nintendo Switch,"November 15, 2019",Game Freak,Nintendo / The Pokémon Company
37,Grand Theft Auto IV,"2,50,00,000",Grand Theft Auto,Multi-platform,"April 29, 2008",Rockstar North,Rockstar Games
38,Pokémon Diamond / Pearl / Platinum,"2,47,30,000",Pokémon,Nintendo DS,"September 28, 2006",Game Freak,Nintendo / The Pokémon Company
39,Super Mario Bros. 3,"2,44,30,000",Super Mario,Multi-platform,"October 23, 1988",Nintendo EAD,Nintendo
40,Super Mario Odyssey,"2,44,00,000",Super Mario,Nintendo Switch,"October 27, 2017",Nintendo EPD,Nintendo
41,Call of Duty: Black Ops II,"2,42,00,000",Call of Duty,Multi-platform,"November 12, 2012",Treyarch,Activision
42,FIFA 18,"2,40,00,000",FIFA,Multi-platform,"September 29, 2017",EA Vancouver,EA Sports
43,Kinect Adventures!,,None,Xbox 360,"November 4, 2010",Good Science Studio,Xbox Game Studios
44,Sonic the Hedgehog,"2,39,82,960",Sonic the Hedgehog,Multi-platform[c],"June 23, 1991",Sonic Team,Sega
45,Nintendogs,"2,39,60,000",None,Nintendo DS,"April 21, 2005",Nintendo EAD,Nintendo
46,Mario Kart DS,"2,36,00,000",Mario Kart,Nintendo DS,"November 14, 2005",Nintendo EAD,Nintendo
47,God of War,"2,30,00,000",God of War,PlayStation 4 / Windows,"April 20, 2018",Santa Monica Studio,Sony Interactive Entertainment
48,Red Dead Redemption,"2,30,00,000",Red Dead,PS3 / Xbox 360,18.May.10,Rockstar San Diego,Rockstar Games
49,Call of Duty: Modern Warfare 2,"2,27,00,000",Call of Duty,Multi-platform,"November 10, 2009",Infinity Ward,Activision
